City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Dingle,PH,2021-10-30 00:29:57,10.9995,122.6711,78.49,88,78,9.69
213,Kamaishi,JP,2021-10-30 00:29:57,39.2667,141.8833,47.35,61,0,1.5
214,Port-Gentil,GA,2021-10-30 00:29:58,-0.7193,8.7815,79.12,87,100,7.72
215,Saldanha,ZA,2021-10-30 00:29:58,-33.0117,17.9442,59.05,92,0,8.52
216,Ahipara,NZ,2021-10-30 00:29:59,-35.1667,173.1667,66.11,70,100,13.06
217,Sao Felix Do Xingu,BR,2021-10-30 00:29:59,-6.6447,-51.995,78.33,55,47,0.25
218,Kloulklubed,PW,2021-10-30 00:30:00,7.0419,134.2556,86.5,76,98,15.5
219,Iquique,CL,2021-10-30 00:30:01,-20.2208,-70.1431,60.84,74,33,3.38
220,Chokurdakh,RU,2021-10-30 00:30:01,70.6333,147.9167,-14.3,99,100,1.97
221,Tabou,CI,2021-10-30 00:30:02,4.423,-7.3528,77.04,86,100,5.68
222,Loon,PH,2021-10-30 00:30:03,9.7998,123.7929,84.09,77,42,9.1
223,Anori,BR,2021-10-30 00:30:04,-3.7728,-61.6442,78.85,73,81,1.52
224,Riyadh,SA,2021-10-30 00:27:47,24.6877,46.7219,69.94,31,100,7.2
225,Pontarlier,FR,2021-10-30 00:30:06,46.8333,6.25,48.34,78,94,5.41
226,Vestmannaeyjar,IS,2021-10-30 00:30:07,63.4427,-20.2734,45.99,82,89,16.17
227,Pangai,TO,2021-10-30 00:30:07,-19.8,-174.35,80.71,57,75,19.57
228,Isangel,VU,2021-10-30 00:30:08,-19.55,169.2667,82.51,78,75,0.0
229,Mahebourg,MU,2021-10-30 00:27:43,-20.4081,57.7,72.25,94,75,3.44
230,Kushmurun,KZ,2021-10-30 00:30:09,52.4503,64.6311,32.27,54,88,4.85
231,Kudahuvadhoo,MV,2021-10-30 00:30:10,2.6708,72.8944,82.26,75,97,10.96
232,Henties Bay,NA,2021-10-30 00:30:11,-22.116,14.2845,57.85,86,1,2.71
233,Contamana,PE,2021-10-30 00:30:12,-7.3333,-75.0167,74.8,81,56,0.74
234,Esil,KZ,2021-10-30 00:30:12,51.9556,66.4042,33.26,89,99,4.74
235,Maragogi,BR,2021-10-30 00:30:13,-9.0122,-35.2225,75.24,72,22,8.08
236,Mbouda,CM,2021-10-30 00:30:14,5.6258,10.2552,61.18,90,27,1.72
237,Moron,AR,2021-10-30 00:28:46,-34.6534,-58.6198,77.0,78,72,9.53
238,Maningrida,AU,2021-10-30 00:30:14,-12.0667,134.2667,90.54,48,100,6.85
239,Saint-Augustin,CA,2021-10-30 00:30:15,51.226,-58.6502,41.86,48,0,2.35
240,Tanggu,CN,2021-10-30 00:30:15,39.0211,117.6469,49.96,60,6,3.29
241,Westport,US,2021-10-30 00:30:16,41.1415,-73.3579,56.8,74,90,1.99
242,Troitsko-Pechorsk,RU,2021-10-30 00:30:16,62.7084,56.1964,22.66,94,100,8.25
243,Skeldon,GY,2021-10-30 00:30:17,5.8833,-57.1333,76.6,86,7,5.32
244,West Wendover,US,2021-10-30 00:29:54,40.7391,-114.0733,58.21,51,1,3.44
245,Waipawa,NZ,2021-10-30 00:25:40,-41.4122,175.5153,62.46,61,59,6.6
246,Qaqortoq,GL,2021-10-30 00:30:18,60.7167,-46.0333,28.9,85,42,4.12
247,Mogocha,RU,2021-10-30 00:30:19,53.7333,119.7667,25.02,66,6,2.33
248,Great Yarmouth,GB,2021-10-30 00:30:19,52.6083,1.7305,52.23,85,81,14.2
249,Warrensburg,US,2021-10-30 00:27:03,38.7628,-93.7361,50.38,80,90,9.22
250,Palora,EC,2021-10-30 00:30:20,-1.7,-77.9333,65.5,94,76,2.35
251,Muros,ES,2021-10-30 00:30:20,42.7762,-9.0603,60.24,95,100,5.91
252,Cape Town,ZA,2021-10-30 00:27:19,-33.9258,18.4232,62.1,85,40,1.01
253,Nchelenge,ZM,2021-10-30 00:30:21,-9.3451,28.734,74.8,71,77,6.62
254,Nome,US,2021-10-30 00:25:25,64.5011,-165.4064,26.67,80,75,13.8
255,Surazh,RU,2021-10-30 00:30:22,53.0175,32.3918,42.84,96,18,7.83
256,Geraldton,AU,2021-10-30 00:30:23,-28.7667,114.6,70.21,30,0,13.8
257,Farafenni,GM,2021-10-30 00:30:23,13.5667,-15.6,79.59,66,100,5.5
258,Tam Ky,VN,2021-10-30 00:30:24,15.5667,108.4833,76.98,94,100,4.79
259,Ponta Do Sol,PT,2021-10-30 00:26:05,32.6667,-17.1,70.72,71,63,8.75
260,Zyryanka,RU,2021-10-30 00:30:25,65.75,150.85,7.84,91,98,5.61
261,Pangkalanbuun,ID,2021-10-30 00:30:25,-2.6833,111.6167,79.7,87,96,2.84
262,Palmer,US,2021-10-30 00:30:26,42.1584,-72.3287,48.99,72,90,5.01
263,Flinders,AU,2021-10-30 00:28:01,-34.5833,150.8552,65.8,53,99,9.55
264,Lasa,IT,2021-10-30 00:30:26,46.6166,10.7002,43.68,47,96,4.83
265,Pala,TD,2021-10-30 00:26:40,9.3642,14.9046,80.22,54,100,5.39
266,San Cristobal,VE,2021-10-30 00:28:03,7.7669,-72.225,75.38,98,98,1.95
267,Boca Do Acre,BR,2021-10-30 00:30:28,-8.7522,-67.3978,78.89,63,54,2.24
268,Los Llanos De Aridane,ES,2021-10-30 00:30:28,28.6585,-17.9182,64.15,79,0,5.99
269,Santa Cruz,BO,2021-10-30 00:29:40,-17.8,-63.1667,83.66,65,62,6.91
270,Iqaluit,CA,2021-10-30 00:30:29,63.7506,-68.5145,38.93,64,90,11.01
271,Haines Junction,CA,2021-10-30 00:30:30,60.7522,-137.5108,35.55,64,75,2.3
272,Luena,AO,2021-10-30 00:30:31,-11.7833,19.9167,61.79,96,98,4.43
273,Shingu,JP,2021-10-30 00:30:32,33.7333,135.9833,65.39,66,99,2.86
274,Tanout,NE,2021-10-30 00:30:32,14.9709,8.8879,80.73,15,100,9.19
275,Japura,ID,2021-10-30 00:30:33,-0.3167,102.35,79.52,83,100,1.74
276,Yar-Sale,RU,2021-10-30 00:30:33,66.8333,70.8333,13.21,90,100,22.24
277,Ventspils,LV,2021-10-30 00:30:34,57.3894,21.5606,40.93,100,96,3.44
278,Farafangana,MG,2021-10-30 00:30:34,-22.8167,47.8333,65.3,85,65,4.63
279,Bulri,PK,2021-10-30 00:30:35,24.8667,68.3333,73.89,35,2,4.59
280,Trincomalee,LK,2021-10-30 00:30:35,8.5711,81.2335,81.79,77,93,4.38
281,Coos Bay,US,2021-10-30 00:30:36,43.3665,-124.2179,56.32,94,1,11.5
282,Lata,PT,2021-10-30 00:30:36,40.1629,-8.3327,68.92,97,100,12.93
283,Marystown,CA,2021-10-30 00:30:37,47.1666,-55.1483,43.86,100,97,11.99
284,Koubia,GN,2021-10-30 00:30:38,11.5833,-11.9,67.55,89,100,3.38
285,Egvekinot,RU,2021-10-30 00:30:38,66.3167,-179.1667,0.64,92,93,3.18
286,East London,ZA,2021-10-30 00:30:39,-33.0153,27.9116,64.27,65,2,14.61
287,Katobu,ID,2021-10-30 00:30:39,-4.9408,122.5276,86.56,65,82,2.3
288,Hasaki,JP,2021-10-30 00:30:40,35.7333,140.8333,59.29,45,0,1.07
289,Mocuba,MZ,2021-10-30 00:30:40,-16.8392,36.9856,63.88,89,6,2.04
290,Nihommatsu,JP,2021-10-30 00:30:41,37.5833,140.4333,58.57,83,0,2.39
291,Buchanan,LR,2021-10-30 00:30:41,5.8808,-10.0467,75.87,92,99,5.68
292,Shihezi,CN,2021-10-30 00:30:42,44.3,86.0333,48.43,54,100,4.45
293,Fortuna,US,2021-10-30 00:30:43,40.5982,-124.1573,66.18,67,90,1.01
